VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
JTMAB3FV2P,Island,Freeland,WA,98249,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,10,236265263,POINT (-122.52664 48.00956),PUGET SOUND ENERGY INC,53029971900
1FTVW1EL9P,Snohomish,Snohomish,WA,98296,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,260478459,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052120
5YJYGDEE6M,Whatcom,Bellingham,WA,98229,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,40,172050560,POINT (-122.45486 48.7449),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000809
5YJ3E1EA7J,Snohomish,Everett,WA,98208,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,9346221,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041610
1G1FZ6S01K,Snohomish,Bothell,WA,98021,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,2761132,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918
2C4RC1L70J,Walla Walla,Walla Walla,WA,99362,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,16,110249415,POINT (-118.34261 46.07068),PACIFICORP,53071920902
3FA6P0SUXE,King,Renton,WA,98058,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,11,135679274,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025702
1G1FZ6S07L,Spokane,Spokane,WA,99204,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,3,123128806,POINT (-117.42571 47.64779),MODERN ELECTRIC WATER COMPANY,53063004100
JTDKARFP8J,Kitsap,Bremerton,WA,98311,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,23,101642936,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091600
1N4AZ0CP2F,Snohomish,Lynnwood,WA,98037,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,32,106894469,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051701
WBY33AW04R,Kittitas,Cle Elum,WA,98922,2024,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,13,256264802,POINT (-120.93943 47.195),PUGET SOUND ENERGY INC,53037975104
5YJXCBE22H,Okanogan,Okanogan,WA,98840,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,7,215981629,POINT (-119.57959 48.3654),PUD NO 1 OF OKANOGAN COUNTY,53047970700
5YJ3E1EB2N,Snohomish,Bothell,WA,98021,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,195270162,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
1N4AZ0CPXD,Snohomish,Snohomish,WA,98290,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,39,3111139,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061053606
5YJ3E1EBXK,Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,299830989,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041816
1G1RA6S55H,Skagit,Sedro-Woolley,WA,98284,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,39,135889918,POINT (-122.23857 48.50858),PUGET SOUND ENERGY INC,53057950803
5YJSA1E21J,Skagit,Anacortes,WA,98221,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,40,285304512,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940600
5YJSA1CG3D,Snohomish,Everett,WA,98201,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,38,239204752,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061041000
5YJXCAE26J,King,Redmond,WA,98072,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,45,203408089,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032327
7SAYGDEE1P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,235166375,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
5YJYGDEF8M,Snohomish,Snohomish,WA,98290,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44,142309037,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052301
1N4AZ0CP2E,King,Duvall,WA,98019,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,5,215122841,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032401
7SAYGDEF3N,King,Kent,WA,98042,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,47,199416927,POINT (-122.09124 47.33778),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032006
1G1FX6S06J,Snohomish,Marysville,WA,98271,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,38,171492562,POINT (-122.1677 48.11026),PUGET SOUND ENERGY INC,53061940001
JTDACACU3R,Whatcom,Bellingham,WA,98225,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,42,276958118,POINT (-122.47107 48.75245),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000401
7FCTGBAA1S,Okanogan,Okanogan,WA,98840,2025,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,12,272567858,POINT (-119.57959 48.3654),PUD NO 1 OF OKANOGAN COUNTY,53047970500
5YJ3E1EBXL,Thurston,Lacey,WA,98516,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,22,6377451,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012221
7FCEHEB78P,Snohomish,Everett,WA,98203,2023,RIVIAN,EDV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,38,262805406,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061041303
1C4RJXN60R,Clark,Vancouver,WA,98682,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,17,273707871,POINT (-122.55149 45.69345),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040604
5YJ3E1EB7J,Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,125907120,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051935
1N4AZ1CPXK,Snohomish,Bothell,WA,98021,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,1,107209756,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
WBY1Z8C30H,Snohomish,Everett,WA,98201,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,38,127375615,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061041500
5YJ3E1EAXL,Snohomish,Lynnwood,WA,98036,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,1,106430047,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051929
WBY8P2C51K,King,Seattle,WA,98112,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,43,324226689,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300
1N4AZ1CP5J,King,Redmond,WA,98052,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,48,475620617,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022605
JTMABABA1P,Spokane,Rockford,WA,99030,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,9,235776565,POINT (-117.13261 47.45227),AVISTA CORP,53063014300
WA1VABGE4K,Chelan,Leavenworth,WA,98826,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,12,109917258,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,53007960203
KNDCR3LFXR,Snohomish,Bothell,WA,98012,2024,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,1,272135349,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051935
5YJSA1E19G,Thurston,Olympia,WA,98506,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,22,225194791,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
KNDRMDLH0N,King,Auburn,WA,98092,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,47,204960437,POINT (-122.1821 47.3199),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031204
KNDPZDAH1P,Snohomish,Edmonds,WA,98026,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,0,21,229744644,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050300
5YJSA1E6XP,King,Kirkland,WA,98033,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,256007916,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022701
1C4JJXP65N,Thurston,Olympia,WA,98503,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,2,207348046,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011627
7SAYGDEE8R,Thurston,Olympia,WA,98502,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,261489266,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012002
1FADP3R48D,Skagit,Mount Vernon,WA,98274,2013,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,0,10,200188558,POINT (-122.32355 48.41566),PUGET SOUND ENERGY INC,53057952600
KNDCC3LG5N,Island,Clinton,WA,98236,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,10,198537153,POINT (-122.35803 47.9796),PUGET SOUND ENERGY INC,53029972000
KNDCC3LG2L,Snohomish,Bothell,WA,98012,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,44,149040433,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052007
1N4AZ0CP5D,Walla Walla,Walla Walla,WA,99362,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,16,338864011,POINT (-118.34261 46.07068),PACIFICORP,53071920802
7SAYGDEE0T,Snohomish,Lynnwood,WA,98037,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,32,278462845,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051702
5YJ3E1EA9J,Snohomish,Mountlake Terrace,WA,98043,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,32,147010132,POINT (-122.31111 47.78803),PUGET SOUND ENERGY INC,53061051000
5YJXCBE2XK,Chelan,Manson,WA,98831,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,12,261198661,POINT (-120.16034 47.8854),PUD NO 1 OF CHELAN COUNTY,53007960400
5YJYGDEEXL,Snohomish,Stanwood,WA,98292,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,10,112265884,POINT (-122.37265 48.24159),PUGET SOUND ENERGY INC,53061053202
1C4JJXP63M,Snohomish,Snohomish,WA,98296,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,1,186734418,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052113
5YJ3E1EA1R,Snohomish,Lynnwood,WA,98037,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,32,272757446,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051601
1N4AZ0CP1E,Snohomish,Everett,WA,98203,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,38,151475544,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061041601
JTDKARFPXJ,Yakima,Yakima,WA,98902,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,260081769,POINT (-120.52041 46.59751),PACIFICORP,53077001202
JN1AZ0CP8C,Spokane,Spokane,WA,99202,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,3,158837710,POINT (-117.3797 47.65548),MODERN ELECTRIC WATER COMPANY,53063002900
5YJ3E1EB4J,King,Woodinville,WA,98072,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45,474960853,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032307
5YJ3E1EA2L,Island,Coupeville,WA,98239,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,10,3107212,POINT (-122.68558 48.21857),PUGET SOUND ENERGY INC,53029971000
3GNKDBRJ9R,Yakima,Yakima,WA,98901,2024,CHEVROLET,BLAZER,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,276425936,POINT (-120.50729 46.60464),PACIFICORP,53077001602
5YJYGDEE4L,Pierce,Bonney Lake,WA,98391,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,31,132137708,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070208
5YJ3E1EB3L,Island,Oak Harbor,WA,98277,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,10,2153427,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029971000
7SAYGDEE3N,Snohomish,Bothell,WA,98021,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,220376411,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051918
1G1FW6S02H,Spokane,Spokane,WA,99205,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,3,223183600,POINT (-117.45674 47.69963),MODERN ELECTRIC WATER COMPANY,53063001100
YV4ED3UM4P,Thurston,Lacey,WA,98516,2023,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,237734619,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012221
1C4RJXU62R,Yakima,Yakima,WA,98903,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,14,259169536,POINT (-120.4778 46.55351),PACIFICORP,53077002803
5YJSA1CG4D,Stevens,Addy,WA,99101,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,7,276571956,POINT (-117.8379 48.35609),AVISTA CORP,53065950800
5YJ3E1EA4S,Snohomish,Bothell,WA,98021,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,277833475,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
5YJYGAEE3M,King,Redmond,WA,98053,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45,166087141,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032328
WA1F2AFY7R,Stevens,Evans,WA,99126,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,7,272042277,POINT (-118.02345 48.71331),AVISTA CORP,53065950101
7PDSGBBAXS,Snohomish,Woodway,WA,98020,2025,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,32,269831278,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050600
1G1FZ6S03L,Snohomish,Marysville,WA,98271,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,38,106925458,POINT (-122.1677 48.11026),PUGET SOUND ENERGY INC,53061053102
KL8CK6S01G,Thurston,Tumwater,WA,98512,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,22,474971409,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067010920
5UX43EU0XS,Spokane,Spokane,WA,99203,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,0,6,273662336,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,53063004400
WBY1Z4C51F,Snohomish,Lynnwood,WA,98037,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,32,172361871,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051701
5YJ3E1EAXL,Snohomish,Lynnwood,WA,98087,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,21,241662326,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061051803
5YJXCDE2XJ,Snohomish,Mill Creek,WA,98012,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,44,476447534,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052004
1N4AZ1CP1J,King,Renton,WA,98058,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,11,128847092,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031906
1C4JJXP65P,Yakima,Yakima,WA,98903,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,14,229810024,POINT (-120.4778 46.55351),PACIFICORP,53077002801
7SAYGDEE8P,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,260282410,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
JTMFB3FV1S,Snohomish,Monroe,WA,98272,2025,TOYOTA,RAV4 PHEV,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,39,280103071,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203
WBY7Z8C56J,King,Des Moines,WA,98198,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,30,229399600,POINT (-122.3219 47.40173),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030003
5YJ3E1EA9K,Kittitas,Ellensburg,WA,98926,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,13,345443829,POINT (-120.54872 46.99703),PUGET SOUND ENERGY INC,53037975300
5YJ3E1EB5J,King,Redmond,WA,98072,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45,475468990,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032327
5YJ3E1EBXL,Yakima,Yakima,WA,98903,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,14,269826056,POINT (-120.4778 46.55351),PACIFICORP,53077002803
1C4JJXP6XP,Yakima,Yakima,WA,98908,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,14,220572614,POINT (-120.60199 46.59817),PACIFICORP,53077002900
1N4AZ1CP1J,King,Auburn,WA,98001,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,30,476628876,POINT (-122.23035 47.3074),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030404
WP0AA2Y1XR,King,Seattle,WA,98119,2024,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,276704557,POINT (-122.3684 47.64586),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006900
5YJSA1E28K,Chelan,Entiat,WA,98822,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,12,228042692,POINT (-120.20831 47.67562),PUD NO 1 OF CHELAN COUNTY,53007960100
7SAYGDEE9N,Snohomish,Monroe,WA,98272,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39,269684348,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052204
KM8K23AG9M,Skagit,Anacortes,WA,98221,2021,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,40,151818173,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940500
WAUTPBFF9G,Snohomish,Bothell,WA,98021,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,1,100375726,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
5YJ3E1EAXP,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,253493068,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051938
KNDCC3LD3L,Snohomish,Bothell,WA,98012,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,1,152323706,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051921
WVWKR7AU2K,Chelan,Wenatchee,WA,98801,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,12,276154329,POINT (-120.30522 47.41494),PUD NO 1 OF CHELAN COUNTY,53007960804
JN1AZ0CP2C,Whitman,Pullman,WA,99163,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,9,233481370,POINT (-117.18147 46.73015),AVISTA CORP,53075000601
2C4RC1L72J,Chelan,Leavenworth,WA,98826,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,12,439303105,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,53007960201
1C4JJXR66P,Snohomish,Snohomish,WA,98290,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,39,240783343,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052203
JN1AZ0CPXB,Snohomish,Everett,WA,98208,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,44,229461711,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041606
KNDCC3LD6K,Snohomish,Edmonds,WA,98026,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,21,9762756,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061042003
3C3CFFGE0H,Skagit,Bow,WA,98232,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,40,4874894,POINT (-122.397 48.56045),PUGET SOUND ENERGY INC,53057950802
5YJSA1E2XJ,Snohomish,Mill Creek,WA,98012,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,44,223489633,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061041704
1N4AZ0CP1D,Snohomish,Edmonds,WA,98026,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,32,185005306,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050900
1G1FZ6S01L,Snohomish,Bothell,WA,98021,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,1,152725044,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051917
5YJSA1S22F,Island,Coupeville,WA,98239,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,10,295924835,POINT (-122.68558 48.21857),PUGET SOUND ENERGY INC,53029971302
WA1E2AFY8M,Thurston,Olympia,WA,98513,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,2,213605850,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012331
5YJSA1E27G,King,Bellevue,WA,98008,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,48,263596798,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023100
7SAXCBE50P,Thurston,Lacey,WA,98513,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,259049892,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067011623
